Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1126.5555555555557,78.78489626370944,126,0.19384615,38.0
2,993.639344262295,82.79756418863933,248,0.1984,38.0
3,634.5833333333334,83.04277102152507,368,0.19891892,38.0
4,834.875,83.08654340108235,488,0.19918367,38.0
5,836.8583333333333,83.16435305277507,608,0.19934426,38.0
6,569.2033898305085,83.52853457132976,726,0.19890411,38.0
7,975.0245901639345,83.45455996195476,848,0.19952941,37.36666666666667
8,645.6,83.89673360188802,968,0.19958763,38.0
9,737.6271186440678,83.92279624938965,1086,0.19926606,38.0
10,815.5491803278688,83.94287618001302,1208,0.19966942,37.36666666666667
Final Results,537.74,84.39737548828126,1258,0.19968253,38.0

AVERAGES,791,83,,0.9984126499999999
