Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,729.8425196850394,78.81895329402043,254,0.19689922,76.0
2,717.6125,83.02815246582031,494,0.19839357,75.36666666666666
3,788.9380165289256,83.28885332743327,736,0.19945799,76.0
4,745.5378151260504,83.77798334757487,974,0.199182,75.36666666666666
5,762.5743801652893,83.96363576253255,1216,0.1996716,75.36666666666666
6,731.5126050420168,84.5262680053711,1454,0.1994513,76.0
7,731.0966386554621,84.63953717549641,1692,0.19929329,75.36666666666666
8,696.0578512396694,85.25618108113606,1934,0.1995872,75.36666666666666
9,877.5483870967741,85.46638043721516,1996,0.1997998,20.266666666666666
10,NaN,85.45744641621907,1996,0.1997998,0.0
Final Results,NaN,85.45847625732422,1996,0.1997998,0.0

AVERAGES,753,83,,0.998999
