Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1089.2698412698412,78.68889617919922,126,0.19384615,38.0
2,1034.155737704918,82.66259574890137,248,0.1984,38.0
3,600.9833333333333,82.88914616902669,368,0.19891892,38.0
4,834.5,83.11659113566081,486,0.19836734,38.0
5,786.672131147541,83.27110226949056,608,0.19934426,38.0
6,583.5762711864406,83.40206654866536,726,0.19890411,38.0
7,932.1639344262295,83.56091117858887,848,0.19952941,38.0
8,516.3166666666667,83.82990137736003,968,0.19958763,37.36666666666667
9,985.4916666666667,83.7831916809082,1088,0.19963303,38.0
10,688.5083333333333,84.18857256571452,1208,0.19966942,38.0
Final Results,405.0,84.42627868652343,1258,0.19968253,38.0

AVERAGES,768,83,,0.9984126499999999
