Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1031.984126984127,79.72511761005109,63,0.19384615,19.0
2,805.4262295081967,83.06644058227539,124,0.1984,19.0
3,386.0,83.93738301595052,184,0.19891892,19.0
4,846.0333333333333,83.35766474405925,244,0.19918367,18.683333333333334
5,538.0166666666667,83.88972028096516,304,0.19934426,19.0
6,670.2666666666667,83.86058553059895,364,0.19945206,19.0
7,674.6166666666667,83.86748186747234,424,0.19952941,18.683333333333334
8,476.22033898305085,84.26351165771484,483,0.19917525,19.0
9,800.8688524590164,83.76651573181152,544,0.19963303,19.0
10,377.7,84.59763145446777,604,0.19966942,18.683333333333334
Final Results,834.76,84.3253173828125,629,0.19968253,19.0

AVERAGES,676,83,,0.9984126499999999
