Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,2063.746031746032,90.96961446908804,63,0.19384615,19.0
2,1920.0819672131147,88.45540301005046,124,0.1984,19.0
3,1566.3833333333334,88.49674288431804,184,0.19891892,19.0
4,1874.3166666666666,88.33751487731934,244,0.19918367,18.683333333333334
5,1736.6166666666666,88.46444574991862,304,0.19934426,19.0
6,1587.084745762712,88.77960141499837,363,0.19890411,19.0
7,1845.7966101694915,89.0256888071696,422,0.19858824,18.683333333333334
8,1523.5,89.04977226257324,482,0.1987629,19.0
9,1906.8064516129032,88.88142776489258,544,0.19963303,19.0
10,1673.4666666666667,89.9174575805664,604,0.19966942,19.0
Final Results,1356.5714285714287,89.98521118164062,625,0.1984127,19.0

AVERAGES,1732,89,,0.9920635
