Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1045.2222222222222,80.24370398888222,63,0.19384615,19.0
2,885.9016393442623,84.60830624898274,124,0.1984,19.0
3,942.8644067796611,84.71039454142253,183,0.19783784,19.0
4,880.8688524590164,84.22214253743489,244,0.19918367,19.0
5,884.65,85.28437995910645,304,0.19934426,19.0
6,898.8813559322034,85.3638464609782,363,0.19890411,19.0
7,885.0983606557377,85.02198918660481,424,0.19952941,19.0
8,945.1016949152543,85.15768305460612,483,0.19917525,18.683333333333334
9,911.2950819672132,85.49604924519856,544,0.19963303,19.0
10,897.5833333333334,85.3980827331543,604,0.19966942,19.0
Final Results,890.12,85.47244415283203,629,0.19968253,19.0

AVERAGES,915,84,,0.9984126499999999
