Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,863.8571428571429,79.27245858999399,63,0.19384615,19.0
2,935.1475409836065,84.06163024902344,124,0.1984,19.0
3,565.85,83.90133539835612,184,0.19891892,19.0
4,531.5,84.01127942403157,244,0.19918367,19.0
5,783.3166666666667,83.89242235819499,304,0.19934426,18.683333333333334
6,395.05,84.04833539326985,364,0.19945206,19.0
7,785.55,84.47003746032715,424,0.19952941,19.0
8,624.7833333333333,84.12166531880696,484,0.19958763,18.688524590163933
9,480.5,84.31300354003906,544,0.19963303,19.0
10,851.55,84.48382886250813,604,0.19966942,19.0
Final Results,580.52,84.53127746582031,629,0.19968253,19.0

AVERAGES,672,83,,0.9984126499999999
