Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1009.1111111111111,79.32920720027043,63,0.19384615,19.0
2,784.7,83.28282737731934,124,0.1984,19.0
3,348.1186440677966,83.5948543548584,183,0.19783784,19.0
4,888.0983606557377,83.43328539530437,244,0.19918367,18.683333333333334
5,425.4166666666667,83.79083569844563,304,0.19934426,19.0
6,805.6,83.4631856282552,364,0.19945206,19.0
7,523.0166666666667,83.98887125651042,424,0.19952941,18.688524590163933
8,706.2833333333333,83.69296773274739,484,0.19958763,19.0
9,619.4666666666667,84.16932169596355,544,0.19963303,19.0
10,554.7666666666667,84.01737976074219,604,0.19966942,18.688524590163933
Final Results,840.0,84.2293716430664,629,0.19968253,19.0

AVERAGES,682,83,,0.9984126499999999
