Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1013.2857142857143,78.98755939190204,63,0.19384615,19.0
2,756.6065573770492,83.27982966105144,124,0.1984,19.0
3,415.76271186440675,83.26723670959473,183,0.19783784,19.0
4,773.9344262295082,83.4012622833252,244,0.19918367,18.683333333333334
5,375.79661016949154,83.49593544006348,303,0.19868852,19.0
6,827.688524590164,83.59693908691406,364,0.19945206,19.0
7,379.135593220339,83.70992088317871,423,0.19905883,18.688524590163933
8,844.7213114754098,83.63252194722493,484,0.19958763,19.0
9,390.05,83.92331441243489,544,0.19963303,18.683333333333334
10,788.3166666666667,84.00630442301433,604,0.19966942,19.0
Final Results,569.04,84.08542327880859,629,0.19968253,19.0

AVERAGES,648,83,,0.9984126499999999
