Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,990.015873015873,79.1875751201923,63,0.19384615,19.0
2,776.4833333333333,83.3556588490804,124,0.1984,19.0
3,430.135593220339,83.49411010742188,183,0.19783784,19.0
4,831.2950819672132,83.36361376444499,244,0.19918367,18.683333333333334
5,372.53333333333336,83.6907730102539,304,0.19934426,19.0
6,860.5833333333334,83.59472783406575,364,0.19945206,19.0
7,452.6333333333333,83.94933891296387,424,0.19952941,18.688524590163933
8,776.5,83.72656122843425,484,0.19958763,19.0
9,519.9333333333333,84.10634485880534,544,0.19963303,18.683333333333334
10,656.5,84.22498385111491,604,0.19966942,19.0
Final Results,699.36,84.16639251708985,629,0.19968253,19.0

AVERAGES,669,83,,0.9984126499999999
