Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,683.0,79.32941554142879,128,0.19692308,38.0
2,574.3719008264463,83.35897954305013,249,0.1992,38.0
3,602.1932773109244,83.74265225728352,368,0.19891892,37.68333333333333
4,632.9421487603306,83.70853360493977,489,0.19959183,37.68333333333333
5,625.1344537815127,84.11218007405598,608,0.19934426,37.68333333333333
6,615.5619834710744,84.1392281850179,729,0.19972603,38.0
7,618.5798319327731,84.49282773335774,848,0.19952941,37.68333333333333
8,609.4873949579832,84.51286760965984,967,0.19938144,38.0
9,665.9677419354839,84.70315233866374,998,0.1997998,9.183333333333334
10,NaN,84.61909357706706,998,0.1997998,0.0
Final Results,NaN,84.72987823486328,998,0.1997998,0.0

AVERAGES,625,83,,0.998999
