Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,12707.72514619883,44.96616921058068,171,0.06638199,159.5
2,93778.0,62.766148249308266,173,0.034766883,158.95081967213116
3,158753.0,81.17672729492188,175,0.023725597,158.93333333333334
4,222804.0,99.45834350585938,177,0.018105565,158.93333333333334
5,286134.0,117.69850158691406,179,0.014701052,158.4262295081967
6,334242.0,136.1695473988851,180,0.012349067,157.44262295081967
7,383245.5,154.49065780639648,182,0.010721018,158.4
8,446131.5,172.52589797973633,184,0.009496284,157.9016393442623
9,512628.5,190.80930773417154,186,0.008541513,157.9016393442623
10,579271.5,208.96932792663574,188,0.007776307,157.9016393442623
Final Results,627860.0,221.47091674804688,189,0.0075672646,156.8

AVERAGES,332505,135,,0.037836323
