Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,890.2923076923076,40.107159247765175,130,1.0,8.0
2,781.0833333333334,50.16425704956055,250,0.99206346,8.0
3,713.3196721311475,61.72257773081461,372,1.0,8.0
4,562.5983606557377,73.23318227132161,494,1.0,8.0
5,515.2166666666667,84.6171480814616,614,0.9967533,8.0
6,468.72131147540983,96.06086921691895,736,1.0,8.0
7,422.9016393442623,107.60956350962321,858,1.0,8.0
8,382.19166666666666,119.0452823638916,978,0.9979592,8.0
9,340.4754098360656,130.39077726999918,1100,0.9981851,8.0
10,283.4016393442623,141.88386344909668,1222,1.0,8.0
Final Results,251.425,149.6858320236206,1262,1.0,8.0

AVERAGES,510,95,,5.0
