Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,2272.0,37.95378875732422,56,0.054263566,64.0
2,NaN,43.827239990234375,56,0.02811245,64.0
3,120744.20833333333,51.112022399902344,80,0.02710027,63.46666666666667
4,NaN,58.55138333638509,80,0.020449897,63.266666666666666
5,NaN,65.74876340230306,80,0.01642036,63.2
6,NaN,72.98755327860515,80,0.013717421,64.0
7,NaN,80.50074450174968,80,0.011778563,63.46666666666667
8,NaN,87.88466580708821,80,0.010319917,63.46666666666667
9,NaN,95.25339317321777,80,0.009182736,63.21311475409836
10,NaN,102.45249875386556,80,0.008271298,63.46666666666667
Final Results,NaN,107.57698059082031,80,0.007942812,64.0

AVERAGES,61508,73,,0.03971406
