Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,781.45625,48.44396796593299,320,0.9846154,20.0
2,746.7836065573771,76.36844698588054,625,1.0,20.0
3,709.5333333333333,104.94181696573894,925,0.99462366,20.0
4,679.9866666666667,133.3757006327311,1225,0.99593496,20.0
5,648.6622950819672,162.040545463562,1530,1.0,20.0
6,622.2233333333334,190.56451225280762,1830,0.99727523,20.0
7,597.567213114754,218.9840211868286,2135,1.0,20.0
8,570.1566666666666,247.65344397226968,2435,0.9979508,20.0
9,545.4590163934427,276.0198450088501,2740,1.0,20.0
10,516.4866666666667,304.7609790166219,3040,0.99835795,20.0
Final Results,491.736,324.8482753753662,3165,0.99842274,20.0

AVERAGES,628,189,,4.9921137
