Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,12542.223684210527,38.500456883357124,76,0.07364341,64.0
2,NaN,46.497389475504555,76,0.03815261,64.0
3,162275.95757575758,53.80073547363281,241,0.081639566,63.08196721311475
4,170515.22727272726,62.023128509521484,307,0.07847648,64.0
5,NaN,69.43353271484375,307,0.06301314,63.46666666666667
6,NaN,76.47315851847331,307,0.052640602,63.01639344262295
7,NaN,84.0757516225179,307,0.045200236,64.0
8,NaN,91.32087326049805,307,0.039602682,63.46666666666667
9,NaN,98.55348014831543,307,0.03523875,63.47540983606557
10,NaN,106.00548617045085,307,0.03174111,63.46666666666667
Final Results,NaN,111.04954872131347,307,0.03048054,62.76923076923077

AVERAGES,115111,76,,0.1524027
