Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,10412.742268041236,43.62738447922926,97,0.03765528,159.5
2,NaN,60.97648175557455,97,0.019493569,158.93333333333334
3,146538.203539823,80.2047742207845,323,0.043790672,160.0
4,212543.0,99.64940770467122,325,0.03324468,158.95081967213116
5,269791.3333333333,117.93221600850423,328,0.02693824,158.0
6,328361.5,136.5447540283203,330,0.022639956,160.0
7,390573.3333333333,154.91781425476074,333,0.019615928,159.54098360655738
8,449161.0,172.98873647054037,335,0.01728943,157.86666666666667
9,512428.0,191.19190533955893,338,0.015521675,158.93333333333334
10,572852.0,209.3506228129069,340,0.014063534,159.33333333333334
Final Results,606402.0,222.12364959716797,341,0.013653107,159.04761904761904

AVERAGES,349906,135,,0.06826553499999999
