Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,885.8,32.17976672832783,130,1.0,8.0
2,818.5166666666667,32.44140879313151,250,0.99206346,8.0
3,758.4180327868852,32.39240264892578,372,1.0,8.0
4,498.6333333333333,32.24167823791504,492,1.0,8.0
5,472.575,32.40148798624674,612,1.0,7.866666666666666
6,404.7416666666667,32.38683827718099,732,1.0,8.0
7,604.4833333333333,32.46541659037272,852,1.0,7.866666666666666
8,352.375,32.58120536804199,972,1.0,8.0
9,607.1166666666667,32.74468994140625,1092,1.0,8.0
10,313.625,32.73026974995931,1212,1.0,7.866666666666666
Final Results,698.06,32.83394317626953,1262,1.0,8.0

AVERAGES,583,32,,5.0
