Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,8939.20979020979,38.473531869741585,143,0.275,32.0
2,78244.25,43.13432947794596,151,0.151,32.0
3,118849.66666666667,46.80435053507487,154,0.104054056,32.0
4,176933.0,50.4507999420166,155,0.07908163,32.0
5,NaN,54.096540451049805,155,0.06352459,32.0
6,343610.0,57.73826662699381,156,0.053424656,32.0
7,NaN,61.58896827697754,156,0.04588235,31.475409836065573
8,NaN,65.1797529856364,156,0.040206186,32.0
9,503040.0,68.9154675801595,157,0.036009174,32.0
10,NaN,72.55269622802734,157,0.032438017,31.475409836065573
Final Results,NaN,75.1131534576416,157,0.031150794,32.0

AVERAGES,204936,57,,0.15575397
