Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,4479.75,35.9492193368765,100,0.1923077,32.0
2,NaN,38.127427419026695,100,0.1,32.0
3,NaN,41.702510833740234,100,0.067567565,32.0
4,NaN,45.51695251464844,100,0.05102041,30.0
5,NaN,48.91979217529297,100,0.040983606,32.0
6,NaN,52.747056325276695,100,0.034246575,32.0
7,NaN,56.40527089436849,100,0.029411765,32.0
8,NaN,59.95898755391439,100,0.025773196,31.466666666666665
9,NaN,63.76623344421387,100,0.02293578,32.0
10,NaN,67.3650639851888,100,0.020661157,32.0
Final Results,NaN,69.91796417236328,100,0.01984127,32.0

AVERAGES,4479,52,,0.09920635
