Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,818.021875,32.361395615797775,320,0.9846154,20.0
2,786.6032786885246,32.51813888549805,625,1.0,20.0
3,705.1033333333334,32.72701454162598,925,1.0,20.0
4,453.61333333333334,32.913917541503906,1225,1.0,20.0
5,193.65333333333334,32.969448725382485,1525,1.0,20.0
6,730.32,33.202383041381836,1825,1.0,20.0
7,640.7,33.42583910624186,2125,1.0,19.666666666666668
8,363.04,33.56201934814453,2425,1.0,20.0
9,267.9433333333333,33.75118509928385,2725,1.0,20.0
10,809.23,33.91968790690104,3025,1.0,19.666666666666668
Final Results,608.952,34.10960693359375,3150,1.0,20.0

AVERAGES,579,33,,5.0
