Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,14037.157142857142,37.89674142690805,70,0.06782946,64.0
2,NaN,43.6062068939209,70,0.035140563,64.0
3,NaN,51.083213806152344,70,0.023712737,63.46666666666667
4,NaN,58.512111028035484,70,0.01789366,63.666666666666664
5,NaN,65.79876899719238,70,0.014367816,64.0
6,NaN,72.90237172444661,70,0.012002744,63.46666666666667
7,NaN,80.39717928568523,70,0.010306243,63.21311475409836
8,NaN,87.71173731486003,70,0.009029928,63.46666666666667
9,NaN,95.00051625569661,70,0.008034894,63.2
10,NaN,105.41712443033855,70,0.0072373864,63.6
Final Results,NaN,110.65029296875,70,0.0069499603,62.61538461538461

AVERAGES,14037,73,,0.0347498015
