Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,12017.633333333333,43.21167520376352,150,0.05807201,159.9375
2,NaN,62.566130956014,150,0.030102348,158.95081967213116
3,NaN,81.00814692179362,150,0.020316944,158.93333333333334
4,NaN,99.16752751668294,150,0.01533272,158.93333333333334
5,NaN,117.32772509256999,150,0.012312238,157.9016393442623
6,NaN,136.1594352722168,150,0.010285949,158.4
7,NaN,154.27235794067383,150,0.008832362,157.44262295081967
8,NaN,172.59601338704428,150,0.00773874,157.9016393442623
9,NaN,190.76529439290366,150,0.0068861037,157.9016393442623
10,NaN,208.83262570699057,150,0.0062027043,157.9016393442623
Final Results,NaN,222.44546852111816,150,0.0059563993,157.44

AVERAGES,12017,135,,0.029781996499999998
