Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,1136.95625,33.61116203894982,320,0.9846154,20.0
2,972.583606557377,32.4132874806722,625,1.0,20.0
3,632.7084745762712,32.6395689646403,920,0.9945946,20.0
4,969.9377049180328,32.780707041422524,1225,1.0,20.0
5,680.1593220338983,32.975029627482094,1520,0.9967213,19.666666666666668
6,927.055737704918,33.1563777923584,1825,1.0,20.0
7,697.7389830508474,33.34676170349121,2120,0.99764705,20.0
8,945.5508196721312,33.51731300354004,2425,1.0,19.333333333333332
9,729.2033898305085,33.71209907531738,2720,0.99816513,20.0
10,873.4885245901639,33.87251281738281,3025,1.0,20.0
Final Results,540.504,34.01727447509766,3150,1.0,20.0

AVERAGES,827,33,,5.0
