Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1076.69140625,32.57566716120793,512,0.9846154,31.9375
2,1048.0354166666666,32.8803284962972,992,0.992,32.0
3,899.4016393442623,33.07477569580078,1480,1.0,30.2
4,554.35,33.46043332417806,1960,1.0,32.0
5,1406.137254901961,34.78834088643392,2113,0.8659836,32.0
6,NaN,38.37225087483724,2113,0.72363013,32.0
7,78936.64361702128,42.35372670491537,2301,0.6767647,31.466666666666665
8,NaN,46.00838279724121,2301,0.59304124,31.4
9,NaN,49.665225982666016,2301,0.5277523,31.2
10,NaN,53.36138916015625,2301,0.47541323,31.133333333333333
Final Results,NaN,56.01621551513672,2301,0.45654762,30.0

AVERAGES,13986,41,,2.2827381
