Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,1219.546875,38.143102205716644,128,0.9846154,8.0
2,955.1147540983607,50.28507995605469,250,1.0,8.0
3,739.4322033898305,61.5729014078776,368,0.9945946,8.0
4,999.0737704918033,72.81326039632161,490,0.99593496,7.868852459016393
5,925.175,84.17160669962566,610,0.996732,8.0
6,876.5737704918033,95.6282533009847,732,0.99727523,8.0
7,825.3583333333333,107.02872021993001,852,0.9976581,8.0
8,780.3524590163935,118.52825609842937,974,0.9979508,8.0
9,716.8032786885246,129.9491399129232,1096,1.0,8.0
10,648.35,141.35871950785318,1216,0.99835795,8.0
Final Results,614.7115384615385,149.53008766174315,1268,1.0,8.0

AVERAGES,845,95,,5.0
