Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1090.587890625,56.817473484919624,512,0.9846154,32.0
2,1053.4145833333334,102.63923358917236,992,0.984127,32.0
3,999.5286885245902,148.34788735707602,1480,0.99462366,32.0
4,952.5145833333333,193.92542997996011,1960,0.99593496,32.0
5,912.0717213114754,239.7144104639689,2448,0.99674267,32.0
6,862.5799180327868,285.573623975118,2936,1.0,32.0
7,810.2291666666666,331.24554443359375,3416,0.99766356,32.0
8,782.985655737705,377.27048683166504,3904,0.997955,32.0
9,738.452868852459,422.9299192428589,4392,1.0,32.0
10,692.7,468.7446807225545,4872,0.99836063,32.0
Final Results,673.0432692307693,501.58687324523925,5080,1.0,32.0

AVERAGES,869,284,,5.0
