Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,1202.146875,48.275230114276596,320,0.9846154,20.0
2,1064.2590163934426,76.51056830088298,625,0.99206346,20.0
3,990.6066666666667,105.07355499267578,925,0.99462366,20.0
4,911.0590163934427,133.6696621576945,1230,0.9959514,20.0
5,862.5508196721312,162.4557253519694,1535,0.9967533,20.0
6,778.2133333333334,191.08432388305664,1835,0.9972826,20.0
7,728.639344262295,219.6600570678711,2140,0.997669,20.0
8,693.3475409836066,248.42076969146729,2445,0.9979592,20.0
9,623.2590163934426,277.1267048517863,2750,1.0,20.0
10,538.6,305.81439844767254,3050,0.9983633,20.0
Final Results,529.9904761904762,324.9452667236328,3155,1.0,20.0

AVERAGES,811,190,,5.0
