Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,1223.9375,33.872520446777344,128,0.9846154,8.0
2,1030.622950819672,32.19282213846842,250,1.0,8.0
3,649.0677966101695,32.27831586201986,368,0.9945946,8.0
4,1020.5737704918033,32.40326054890951,490,1.0,8.0
5,596.1101694915254,32.68263498942057,608,0.9967213,7.866666666666666
6,1048.172131147541,32.465871810913086,730,1.0,8.0
7,595.6638655462185,32.54314104715983,849,0.9988235,8.0
8,1067.090909090909,32.640472412109375,970,1.0,8.0
9,624.2372881355932,32.7711067199707,1088,0.99816513,7.868852459016393
10,1041.795081967213,32.91122309366862,1210,1.0,8.0
Final Results,714.98,32.777471923828124,1260,1.0,8.0

AVERAGES,873,32,,5.0
