Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,17681.840336134454,41.71670062725361,119,0.046195652,160.0
2,NaN,60.82205009460449,119,0.023914792,158.93333333333334
3,NaN,79.26058578491211,119,0.016133405,158.66666666666666
4,NaN,97.69766807556152,119,0.012172667,158.93333333333334
5,NaN,115.75855890909831,119,0.009773324,160.0
6,NaN,134.32921409606934,119,0.008164105,158.86666666666667
7,NaN,152.5979518890381,119,0.0070098964,159.46666666666667
8,NaN,170.6730251312256,119,0.0061416184,157.9016393442623
9,NaN,188.9991486867269,119,0.0054647317,158.0983606557377
10,NaN,207.1226431528727,119,0.004922237,157.6
Final Results,NaN,220.6862365722656,119,0.004726724,159.07692307692307

AVERAGES,17681,133,,0.023633619999999998
