Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,4048.2602739726026,38.634005326491135,73,0.07073643,64.0
2,103293.5,46.47365061442057,75,0.037650604,64.0
3,NaN,53.82752672831217,75,0.025406504,63.47540983606557
4,NaN,61.17040697733561,75,0.01917178,64.0
5,NaN,68.5914929707845,75,0.015394089,63.46666666666667
6,NaN,75.79256884256999,75,0.012860082,63.47540983606557
7,NaN,83.2647876739502,75,0.011042403,63.46666666666667
8,NaN,90.62594477335612,75,0.009674923,63.47540983606557
9,NaN,97.86559168497722,75,0.008608815,63.46666666666667
10,NaN,105.14133707682292,75,0.0077543426,63.47540983606557
Final Results,NaN,110.27346458435059,75,0.007446386,64.0

AVERAGES,53670,75,,0.037231929999999996
