Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,499.8203125,42.4055962562561,128,0.19844961,38.0
2,529.7786885245902,54.1243789990743,250,0.2,38.0
3,259.5,65.47124600410461,370,0.19892474,38.0
4,95.77049180327869,77.31450756390889,492,0.2,38.0
5,57.64754098360656,88.78560384114583,614,0.2,38.0
6,147.06666666666666,100.12602877616882,734,0.2,38.0
7,895.2,110.45791864395142,854,0.19953272,38.0
8,897.5819672131148,121.70404879252116,976,0.199591,38.0
9,818.9918032786885,133.51587359110513,1098,0.19963637,37.377049180327866
10,734.0409836065573,144.9536984761556,1220,0.2,38.0
Final Results,700.325,152.8308811187744,1260,0.19968304,38.0

AVERAGES,512,99,,0.9984152
