Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,611.5859375,34.04723416841947,128,0.19692308,38.0
2,941.2786885245902,32.44216537475586,250,0.2,38.0
3,589.175,32.60110982259115,370,0.2,38.0
4,356.64166666666665,32.812557220458984,490,0.2,38.0
5,597.3083333333333,32.96263821919759,610,0.2,37.36666666666667
6,399.68333333333334,33.186222076416016,730,0.2,38.0
7,607.8583333333333,33.33614985148112,850,0.2,38.0
8,391.78333333333336,33.53875287373861,970,0.2,37.36666666666667
9,522.825,33.737997690836586,1090,0.2,38.0
10,428.375,33.85695203145345,1210,0.2,38.0
Final Results,724.2,33.971578979492186,1260,0.2,38.0

AVERAGES,560,33,,1.0
