Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,916.9765625,32.42686697152945,128,0.19692308,38.0
2,796.1065573770492,32.47787666320801,250,0.2,38.0
3,329.90833333333336,32.55704816182455,370,0.2,38.0
4,606.15,32.8062375386556,490,0.2,38.0
5,356.275,32.919934590657554,610,0.2,37.36666666666667
6,585.5166666666667,33.177537282307945,730,0.2,38.0
7,246.875,33.341635386149086,850,0.2,37.36666666666667
8,697.775,33.52883338928223,970,0.2,38.0
9,262.19166666666666,33.65994644165039,1090,0.2,38.0
10,730.3083333333333,33.841073989868164,1210,0.2,38.0
Final Results,392.26,34.0713394165039,1260,0.2,36.53846153846154

AVERAGES,538,33,,1.0
