Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,926.6484375,57.43929349459135,128,0.19692308,38.0
2,624.155737704918,69.2247797648112,250,0.2,38.0
3,94.0,80.77466011047363,372,0.2,38.0
4,62.1,92.40776252746582,492,0.2,38.0
5,412.6475409836066,102.56607325871785,614,0.2,38.0
6,865.7,112.63065640131633,734,0.19945653,38.0
7,896.688524590164,124.05466143290202,856,0.2,38.0
8,795.1666666666666,135.72749455769858,976,0.199591,38.0
9,719.7131147540983,147.4897378285726,1098,0.19963637,37.377049180327866
10,626.7540983606557,159.15954184532166,1220,0.19967267,38.0
Final Results,571.325,166.63909530639648,1260,0.19968304,38.0

AVERAGES,599,113,,0.9984152
