Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,631.5819672131148,32.71240488688151,122,0.1967742,38.0
2,673.1639344262295,32.370466232299805,244,0.2,38.0
3,409.05,32.61762936909994,364,0.2,37.377049180327866
4,467.19166666666666,32.73357264200846,484,0.2,38.0
5,524.3,33.02793566385905,604,0.2,37.377049180327866
6,317.7,33.20259348551432,724,0.2,38.0
7,603.65,33.31285603841146,844,0.2,37.36666666666667
8,303.3666666666667,33.489742279052734,964,0.2,38.0
9,542.0333333333333,33.68415641784668,1084,0.2,38.0
10,451.5083333333333,33.89440091451009,1204,0.2,37.36666666666667
Final Results,560.06,34.05494842529297,1254,0.2,38.0

AVERAGES,498,33,,1.0
