Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,93.18461538461538,67.09527639242319,130,0.2,38.0
2,741.225,80.0525728861491,250,0.1984127,38.0
3,918.0819672131148,91.18420108159383,372,0.19967794,38.0
4,831.3916666666667,102.62272556622823,492,0.19919029,38.0
5,770.2213114754098,114.27321028709412,614,0.19935066,38.0
6,687.7704918032787,125.90931638081868,736,0.19945799,38.0
7,634.860655737705,137.52250989278158,858,0.2,38.0
8,558.1311475409836,149.08700601259866,980,0.2,38.0
9,481.59016393442624,160.6663256486257,1102,0.2,38.0
10,382.69166666666666,172.24709932009378,1222,0.1996732,38.0
Final Results,317.2142857142857,180.08285522460938,1264,0.2,38.0

AVERAGES,583,125,,1.0
