Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,412.96923076923076,68.61759537916917,130,0.2,38.0
2,926.8,80.05143038431804,250,0.2,38.0
3,797.8166666666667,91.19190533955891,370,0.19892474,38.0
4,743.1475409836065,102.76421737670898,492,0.19919029,38.0
5,642.5573770491803,114.3202699025472,614,0.2,38.0
6,577.875,125.91989262898763,734,0.19945653,38.0
7,509.0163934426229,137.47437540690103,856,0.2,38.0
8,467.3606557377049,149.15284856160483,978,0.2,38.0
9,421.8833333333333,160.68656984965006,1098,0.19963637,38.0
10,396.5409836065574,172.24230893452963,1220,0.19967267,38.0
Final Results,330.04761904761904,180.02319717407227,1262,0.2,38.0

AVERAGES,566,125,,1.0
