Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,982.4,33.89040470123291,130,0.1969697,38.0
2,1105.2416666666666,32.61075973510742,250,0.1984127,38.0
3,581.9098360655738,32.78560002644857,372,0.2,38.0
4,981.2916666666666,33.01708475748698,492,0.2,37.36666666666667
5,690.2203389830509,33.28580220540365,610,0.19934641,38.0
6,786.9098360655738,33.27398872375488,732,0.2,38.0
7,866.0932203389831,33.44196128845215,850,0.19953051,38.0
8,610.5409836065573,33.583778381347656,972,0.2,37.36666666666667
9,972.1166666666667,33.7917594909668,1092,0.2,38.0
10,679.2118644067797,34.056318283081055,1210,0.19966997,38.0
Final Results,1027.547619047619,34.199350357055664,1252,0.2,38.0

AVERAGES,843,33,,1.0
