Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,614.1076923076923,41.98502961327048,130,0.2,38.0
2,1167.4166666666667,53.23047955830892,250,0.1984127,38.0
3,926.9333333333333,64.61527315775554,370,0.19892474,38.0
4,828.3196721311475,76.1520455678304,492,0.19919029,38.0
5,658.0737704918033,87.79746882120769,614,0.2,38.0
6,556.172131147541,99.37252044677734,736,0.2,38.0
7,530.325,110.98947556813557,856,0.1995338,38.0
8,452.3688524590164,122.6604232788086,978,0.19959183,38.0
9,421.41129032258067,134.36236826578775,1102,0.2,38.0
10,411.25,145.91992123921713,1222,0.1996732,38.0
Final Results,379.5,153.85643768310547,1262,0.19968355,38.0

AVERAGES,631,99,,0.9984177499999999
