Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1231.546875,58.22234520545373,128,0.19692308,38.0
2,1114.5409836065573,69.55678749084473,250,0.2,38.0
3,724.9666666666667,81.06048011779785,370,0.19892474,38.0
4,641.2049180327868,92.65495427449544,492,0.19919029,38.0
5,532.1065573770492,104.23373158772786,614,0.2,38.0
6,437.0,115.79395580291748,734,0.19945653,38.0
7,383.28688524590166,127.37870343526204,856,0.2,38.0
8,362.4754098360656,139.240816116333,978,0.2,38.0
9,469.275,150.40724881490073,1098,0.19963637,38.0
10,812.8666666666667,160.43774811426798,1218,0.19967213,38.0
Final Results,1203.5714285714287,167.3637993335724,1260,0.19968304,38.0

AVERAGES,719,115,,0.9984152
