Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,1015.6875,32.30739006629357,128,0.19692308,38.0
2,1252.3666666666666,32.502620697021484,248,0.1984,38.0
3,822.5573770491803,32.84596633911133,370,0.2,38.0
4,855.4916666666667,33.009867350260414,490,0.2,38.0
5,733.0166666666667,33.23985163370768,610,0.2,38.0
6,926.3166666666667,33.51777903238932,730,0.2,37.36666666666667
7,716.6916666666667,33.79181162516276,850,0.2,38.0
8,959.725,33.70333989461263,970,0.2,38.0
9,675.75,33.752829233805336,1090,0.2,37.36666666666667
10,988.3644067796611,34.23079872131348,1208,0.19966942,38.0
Final Results,788.0576923076923,34.13248901367187,1260,0.2,38.0

AVERAGES,884,33,,1.0
