Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1257.4296875,34.04349107008714,128,0.19692308,38.0
2,1138.6916666666666,32.4411563873291,248,0.1984,38.0
3,713.0245901639345,32.70867347717285,370,0.2,38.0
4,939.9833333333333,32.84471003214518,490,0.2,38.0
5,707.3,33.031310399373375,610,0.2,37.36666666666667
6,943.8666666666667,33.2732957204183,730,0.2,38.0
7,720.3583333333333,33.42369588216146,850,0.2,38.0
8,966.2166666666667,33.60837618509928,970,0.2,38.0
9,696.325,33.83749453226725,1090,0.2,37.36666666666667
10,922.3813559322034,34.04511260986328,1208,0.19966942,38.0
Final Results,810.6346153846154,34.14539794921875,1260,0.2,38.0

AVERAGES,892,33,,1.0
