Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,417.5615384615385,41.77919429540634,130,0.2,38.0
2,382.38524590163934,55.86154246330261,252,0.2,38.0
3,352.60655737704917,67.393741051356,374,0.2,38.0
4,317.8032786885246,78.89403525988261,496,0.2,38.0
5,308.344262295082,90.75202639897664,618,0.2,38.0
6,270.327868852459,102.21567742029826,740,0.2,38.0
7,262.0163934426229,113.83413283030193,862,0.2,38.0
8,245.91803278688525,125.42260018984477,984,0.2,38.0
9,232.327868852459,137.1988091468811,1106,0.2,38.0
10,201.05737704918033,148.7984834512075,1228,0.2,38.0
Final Results,158.375,156.8757200241089,1268,0.19968504,38.0

AVERAGES,286,101,,0.9984252
