Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1364.5,41.62344551086426,24,0.036363635,38.0
2,NaN,37.23034222920736,24,0.01904762,38.0
3,NaN,38.87513542175293,24,0.012903226,38.0
4,NaN,40.50869115193685,24,0.009756098,38.0
5,NaN,42.16501235961914,24,0.007843138,38.0
6,NaN,43.91760381062826,24,0.006557377,38.0
7,NaN,45.52592531840006,24,0.0056338026,38.0
8,NaN,47.104382832845054,24,0.004938272,38.0
9,NaN,48.77098782857259,24,0.0043956046,37.377049180327866
10,NaN,50.36689122517904,24,0.003960396,38.0
Final Results,NaN,51.51063232421875,24,0.0038034865,38.0

AVERAGES,1364,44,,0.0190174325
