Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,506.60769230769233,32.73308563232422,130,0.2,38.0
2,454.43333333333334,32.56487528483073,250,0.2,38.0
3,339.21666666666664,32.77037493387858,370,0.2,38.0
4,614.0916666666667,32.888051986694336,490,0.2,37.36666666666667
5,201.74166666666667,33.10783386230469,610,0.2,38.0
6,691.1166666666667,33.31729698181152,730,0.2,38.0
7,304.30833333333334,33.526130040486656,850,0.2,37.36666666666667
8,548.0833333333334,33.649326960245766,970,0.2,38.0
9,462.55,33.885427474975586,1090,0.2,38.0
10,370.7,34.12939580281576,1210,0.2,38.0
Final Results,699.12,34.19429016113281,1260,0.2,38.0

AVERAGES,471,33,,1.0
