Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,426.0983606557377,32.794619750976565,122,0.1967742,38.0
2,930.5081967213115,32.484137852986656,244,0.2,38.0
3,551.4833333333333,32.59273592631022,364,0.2,38.0
4,469.3666666666667,32.772040049235024,484,0.2,37.36666666666667
5,412.06666666666666,32.99413617451986,604,0.2,38.0
6,597.5583333333333,33.125593185424805,724,0.2,38.0
7,399.78333333333336,33.34015909830729,844,0.2,37.36666666666667
8,567.3833333333333,33.462380727132164,964,0.2,38.0
9,427.69166666666666,33.67224566141764,1084,0.2,38.0
10,427.4583333333333,33.86357561747233,1204,0.2,37.36666666666667
Final Results,182.0,34.01765594482422,1253,0.19984052,38.0

AVERAGES,490,33,,0.9992025999999999
