Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,304.88461538461536,34.410165309906006,130,0.2,38.0
2,533.525,32.83596738179525,250,0.2,38.0
3,477.075,32.9512996673584,370,0.2,38.0
4,227.63333333333333,33.14979553222656,490,0.2,37.36666666666667
5,641.125,33.429112116495766,610,0.2,38.0
6,298.84166666666664,33.68059539794922,730,0.2,38.0
7,601.3666666666667,33.66931025187174,850,0.2,38.0
8,445.1166666666667,33.84432601928711,970,0.2,37.36666666666667
9,275.4033613445378,34.115718841552734,1089,0.19981651,38.0
10,626.7933884297521,34.20328458150228,1210,0.2,38.0
Final Results,348.46,34.36651458740234,1260,0.2,38.0

AVERAGES,434,33,,1.0
