Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,128.4765625,41.58196723461151,128,0.2,38.0
2,478.525,55.13573328653971,248,0.2,38.0
3,568.6083333333333,66.44459207852681,368,0.19891892,38.0
4,480.41803278688525,78.23191396395366,490,0.2,38.0
5,399.04918032786884,89.78199203809102,612,0.2,38.0
6,315.91803278688525,101.25010458628337,734,0.2,38.0
7,241.90833333333333,113.03539896011353,854,0.2,38.0
8,221.13114754098362,124.60054890314738,976,0.2,38.0
9,190.672131147541,136.21257050832114,1098,0.2,38.0
10,207.7,147.75100096066794,1218,0.19967213,38.0
Final Results,153.26923076923077,156.06035041809082,1270,0.2,38.0

AVERAGES,307,100,,1.0
