Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,981.8809523809524,42.04568076133728,42,0.06363636,38.0
2,NaN,44.81928380330404,42,0.033333335,38.0
3,NaN,46.43684323628744,42,0.022580646,38.0
4,NaN,48.187351862589516,42,0.017073171,38.0
5,NaN,49.69398498535156,42,0.01372549,38.0
6,NaN,51.42988650004069,42,0.011475409,37.377049180327866
7,NaN,53.11254755655924,42,0.009859155,38.0
8,NaN,54.638318379720054,42,0.008641975,38.0
9,NaN,56.34571965535482,42,0.0076923077,38.0
10,NaN,57.998053868611656,42,0.006930693,37.377049180327866
Final Results,NaN,59.22209930419922,42,0.0066561014,38.0

AVERAGES,981,51,,0.033280507
