Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,6063.53125,38.98881848653158,32,0.04923077,38.0
2,65427.75,46.25066375732422,72,0.0576,38.0
3,NaN,48.16669146219889,72,0.03891892,38.0
4,NaN,49.88089497884115,72,0.029387755,38.0
5,NaN,51.47769355773926,72,0.023606557,37.377049180327866
6,NaN,53.28781382242838,72,0.019726027,38.0
7,NaN,54.9284553527832,72,0.016941177,38.0
8,NaN,56.522392908732094,72,0.014845361,38.0
9,NaN,58.18815676371256,72,0.013211009,37.377049180327866
10,NaN,59.78322982788086,72,0.011900826,38.0
Final Results,NaN,61.07777862548828,72,0.011428571,38.0

AVERAGES,35745,52,,0.057142855
