Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,181.17460317460316,42.3539964556694,126,0.2,38.0
2,863.0583333333333,53.65833036104838,246,0.1983871,38.0
3,800.311475409836,65.12257703145345,368,0.19891892,38.0
4,497.3032786885246,76.51745732625325,490,0.2,38.0
5,408.4754098360656,88.14176917076111,612,0.2,38.0
6,326.53333333333336,99.84815343221028,732,0.19945504,38.0
7,244.84426229508196,111.40711967150371,854,0.2,38.0
8,170.08196721311475,123.0291698773702,976,0.2,38.0
9,126.18852459016394,134.79401397705078,1098,0.2,38.0
10,99.6,146.3049430847168,1218,0.2,38.0
Final Results,66.9423076923077,154.59533042907714,1270,0.2,38.0

AVERAGES,344,99,,1.0
