Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1171.7884615384614,36.42327356338501,52,0.07878788,38.0
2,NaN,35.819379806518555,52,0.041269843,38.0
3,NaN,37.324214935302734,52,0.027956989,38.0
4,NaN,38.98391850789388,52,0.021138212,38.0
5,NaN,40.705592473347984,52,0.016993465,38.0
6,NaN,42.344116846720375,52,0.01420765,37.377049180327866
7,NaN,44.0118776957194,52,0.012206573,38.0
8,NaN,45.6667423248291,52,0.010699589,38.0
9,NaN,47.284241358439125,52,0.00952381,38.0
10,NaN,48.92160415649414,52,0.008580858,37.36666666666667
Final Results,NaN,50.133497619628905,52,0.008240888,38.0

AVERAGES,1171,42,,0.041204439999999995
