Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1052.4666666666667,45.267930780138286,120,0.1904762,38.0
2,9720.23076923077,59.281234661738075,172,0.1398374,38.0
3,NaN,62.00056584676107,172,0.093989074,38.0
4,NaN,63.68649864196777,172,0.070781894,38.0
5,NaN,65.43069394429524,172,0.056765676,37.377049180327866
6,NaN,67.01351547241211,172,0.04738292,38.0
7,NaN,68.6654675801595,172,0.04066194,38.0
8,NaN,70.32727305094402,172,0.035610765,38.0
9,NaN,71.96078872680664,172,0.031675875,37.377049180327866
10,NaN,73.57426261901855,172,0.028524047,38.0
Final Results,NaN,74.7782974243164,172,0.027172197,38.0

AVERAGES,5386,65,,0.135860985
