Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,682.5820895522388,48.334718465805054,134,0.2,38.0
2,634.0737704918033,57.04388213157654,256,0.19844961,38.0
3,3375.5148514851485,69.7405076821645,357,0.18789473,38.0
4,NaN,74.42316850026448,357,0.1428,38.0
5,NaN,76.0370683670044,357,0.11516129,38.0
6,NaN,77.65248266855876,357,0.09648649,38.0
7,NaN,79.27184581756592,357,0.08302326,38.0
8,NaN,80.94741598765056,357,0.07285714,37.377049180327866
9,NaN,82.69727929433186,357,0.06490909,38.0
10,NaN,84.27294445037842,357,0.05852459,38.0
Final Results,NaN,85.36445903778076,357,0.05666667,38.0

AVERAGES,1564,74,,0.28333335
