Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,531.3538461538461,33.19063186645508,130,0.2,38.0
2,616.4583333333334,32.90324401855469,250,0.2,38.0
3,538.2833333333333,32.96735191345215,370,0.2,37.36666666666667
4,668.2916666666666,33.138206481933594,490,0.2,38.0
5,480.14166666666665,33.78887367248535,610,0.2,37.36666666666667
6,778.9583333333334,33.58077049255371,730,0.2,38.0
7,451.55,33.892374674479164,850,0.2,37.36666666666667
8,726.2,34.00583140055338,970,0.2,37.68333333333333
9,539.925,34.36400159200033,1090,0.2,38.0
10,615.7166666666667,34.42576789855957,1210,0.2,37.377049180327866
Final Results,444.7,34.837547302246094,1260,0.2,38.0

AVERAGES,581,33,,1.0
