Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,945.59375,37.132885456085205,128,0.19393939,38.0
2,9173.871794871795,41.19844118754069,167,0.13253969,38.0
3,50918.8275862069,44.480652491251625,225,0.12096774,38.0
4,NaN,46.7453556060791,225,0.09146342,38.0
5,NaN,48.331359227498375,225,0.073529415,37.36666666666667
6,NaN,50.00850296020508,225,0.06147541,38.0
7,NaN,51.751254399617515,225,0.0528169,38.0
8,NaN,53.27851676940918,225,0.046296295,38.0
9,NaN,56.321048736572266,225,0.041208792,37.377049180327866
10,NaN,58.40892473856608,225,0.037128713,38.0
Final Results,NaN,59.657144165039064,225,0.035657685,38.0

AVERAGES,20346,49,,0.178288425
