Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,407.6060606060606,41.7719801068306,132,0.2,38.0
2,961.775,55.30890695254008,252,0.1984252,38.0
3,1121.6666666666667,66.44591132799785,372,0.19787234,38.0
4,1066.8064516129032,78.04424683252971,496,0.19959758,38.0
5,924.725,89.63326581319173,616,0.19935276,38.0
6,847.3934426229508,101.26190773646037,738,0.19945946,38.0
7,797.639344262295,113.02847425142924,860,0.19976771,38.0
8,713.1147540983607,124.46932713190715,982,0.2,38.0
9,621.5983606557377,136.14445885022482,1104,0.2,38.0
10,573.3916666666667,147.78240625063577,1224,0.19967374,38.0
Final Results,533.439024390244,155.67481446266174,1265,0.19984202,38.0

AVERAGES,779,100,,0.9992101
