Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,416.52272727272725,32.724777698516846,132,0.2,38.0
2,548.7310924369748,32.792226791381836,251,0.19920635,38.0
3,768.4545454545455,32.825164159139,372,0.2,38.0
4,697.3728813559322,33.124180475870766,490,0.199187,37.36666666666667
5,617.6967213114754,33.259703954060875,612,0.2,38.0
6,858.3083333333333,33.3364315032959,732,0.2,37.36666666666667
7,571.9747899159664,33.71717643737793,851,0.19976526,38.0
8,869.5041322314049,33.7563730875651,972,0.2,37.36666666666667
9,704.2033898305085,34.31252352396647,1090,0.1996337,38.0
10,680.9262295081967,34.176926930745445,1212,0.2,38.0
Final Results,525.5510204081633,34.98029327392578,1261,0.19984151,38.0

AVERAGES,659,33,,0.9992075499999999
