Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,703.0846153846154,41.19472885131836,130,0.2,38.0
2,596.1083333333333,33.25213623046875,250,0.2,38.0
3,947.0762711864406,34.403974533081055,368,0.19891892,37.68333333333333
4,5110.784615384616,37.66908963521322,433,0.1767347,38.0
5,28704.65671641791,40.81086222330729,500,0.16393442,38.0
6,91216.37931034483,43.42812856038412,529,0.14493151,38.0
7,NaN,46.01491928100586,529,0.12447059,37.377049180327866
8,144934.83116883118,48.1759090423584,606,0.12494846,38.0
9,NaN,50.21895853678385,606,0.11119266,38.0
10,NaN,51.76632563273112,606,0.10016529,38.0
Final Results,NaN,53.043453979492185,606,0.096190475,36.53846153846154

AVERAGES,38887,43,,0.480952375
