Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,520.1212121212121,43.006204664707184,132,0.2,38.0
2,442.77868852459017,55.67751828829447,254,0.2,38.0
3,435.3360655737705,67.37554597854614,376,0.2,38.0
4,424.88524590163934,79.11539729436238,498,0.1992,38.0
5,428.9836065573771,90.87552936871846,620,0.19935691,38.0
6,391.4672131147541,102.46259935696919,742,0.19946237,38.0
7,400.53225806451616,114.09897446632385,866,0.2,38.0
8,362.0983606557377,125.81449484825134,988,0.2,38.0
9,380.40983606557376,137.6442166964213,1110,0.2,38.0
10,374.10483870967744,149.30986746152243,1234,0.2,38.0
Final Results,336.8421052631579,156.99314141273499,1272,0.19968604,38.0

AVERAGES,408,102,,0.9984302
