Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,3147.4851485148515,41.01192331314087,101,0.15538462,38.0
2,43917.1,51.915737787882485,141,0.1128,38.0
3,57825.28571428572,56.05677286783854,148,0.08,38.0
4,NaN,57.836106618245445,148,0.060408164,38.0
5,215136.33333333334,59.740509668986,154,0.050491802,38.0
6,NaN,62.05024782816569,154,0.04219178,38.0
7,NaN,63.66903813680013,154,0.036235295,37.36666666666667
8,NaN,67.28409830729167,154,0.03175258,38.0
9,NaN,68.87698237101237,154,0.02825688,38.0
10,NaN,70.58459790547688,154,0.025454545,38.0
Final Results,NaN,71.79760233561198,154,0.024251968,36.774193548387096

AVERAGES,80006,60,,0.12125984
