Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,902.5923076923077,42.68108856678009,130,0.1969697,38.0
2,1092.475,54.22749710083008,250,0.1984127,38.0
3,572.3467741935484,65.80995432535808,374,0.2,38.0
4,428.76666666666665,77.30714352925618,494,0.2,38.0
5,380.4166666666667,88.97395451863606,614,0.19935066,38.0
6,594.155737704918,100.40486939748128,736,0.19945799,38.0
7,1278.1083333333333,111.8423277537028,856,0.1995338,38.0
8,1177.5666666666666,123.47422536214192,976,0.19918367,38.0
9,1107.7903225806451,135.1253121693929,1100,0.19963703,38.0
10,1006.5083333333333,146.7587547302246,1220,0.19967267,38.0
Final Results,931.5952380952381,154.47826385498047,1262,0.2,38.0

AVERAGES,861,100,,1.0
