Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,977.2578125,33.04343795776367,128,0.19692308,38.0
2,785.6475409836065,32.69703992207845,250,0.2,38.0
3,844.4152542372881,32.94728215535482,368,0.19891892,37.377049180327866
4,679.0409836065573,32.77040354410807,490,0.2,38.0
5,866.1,33.19098218282064,610,0.2,37.36666666666667
6,635.6016949152543,33.4454345703125,728,0.19945206,38.0
7,871.4262295081967,33.429389317830406,850,0.2,38.0
8,799.1666666666666,33.985312143961586,970,0.2,37.36666666666667
9,662.1,33.756231943766274,1090,0.2,38.0
10,899.15,34.12364705403646,1210,0.2,38.0
Final Results,642.02,34.30752105712891,1260,0.2,38.0

AVERAGES,787,33,,1.0
